epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.9655,1.49808,3.13675,1.6355,0.40164,0.23659,0.23044,0.11772,1.57327,2.96926,1.54402,0.000331126,0.000331126,0.000331126
2,62.0629,1.51165,2.27054,1.50453,0.32627,0.33484,0.30549,0.14606,1.66762,2.64569,1.81255,0.000651303,0.000651303,0.000651303
3,97.255,1.53641,2.15334,1.55663,0.48652,0.26878,0.32443,0.15769,1.67853,2.45311,1.70598,0.00095828,0.00095828,0.00095828
4,137.249,1.55716,2.03918,1.61191,0.36286,0.39868,0.31762,0.15531,1.71224,2.09801,1.7406,0.0009406,0.0009406,0.0009406
5,174.577,1.58041,1.91399,1.60821,0.48977,0.42402,0.43684,0.2096,1.7976,1.90482,1.8206,0.0009208,0.0009208,0.0009208
6,214.502,1.57864,1.92153,1.61891,0.48362,0.43254,0.42712,0.19995,1.84442,1.99613,1.88406,0.000901,0.000901,0.000901
7,258.984,1.60425,1.91437,1.62941,0.53361,0.50707,0.48012,0.22395,1.73506,1.80033,1.78875,0.0008812,0.0008812,0.0008812
8,303.032,1.56403,1.87266,1.61711,0.6376,0.46301,0.50729,0.26409,1.61711,1.85812,1.70377,0.0008614,0.0008614,0.0008614
9,347.775,1.51939,1.74569,1.59301,0.45909,0.54186,0.5066,0.25449,1.62382,1.79822,1.69084,0.0008416,0.0008416,0.0008416
10,393.375,1.48365,1.66987,1.54442,0.53519,0.50544,0.53156,0.28588,1.59353,1.64317,1.67861,0.0008218,0.0008218,0.0008218
11,438.796,1.51073,1.73939,1.56993,0.60071,0.49765,0.55857,0.29151,1.60715,1.74392,1.71091,0.000802,0.000802,0.000802
12,487.007,1.50007,1.73675,1.58425,0.55964,0.53667,0.54694,0.27333,1.59531,1.58454,1.71217,0.0007822,0.0007822,0.0007822
13,535.209,1.43206,1.55708,1.53215,0.59357,0.53797,0.55351,0.28881,1.60585,1.61285,1.6848,0.0007624,0.0007624,0.0007624
14,587.544,1.45502,1.47482,1.53243,0.59572,0.59211,0.60594,0.29393,1.65473,1.51605,1.68997,0.0007426,0.0007426,0.0007426
15,636.682,1.38286,1.53387,1.46062,0.53266,0.62345,0.58509,0.28816,1.60447,1.54057,1.66314,0.0007228,0.0007228,0.0007228
16,685.637,1.41331,1.46012,1.50499,0.5488,0.54767,0.58537,0.33366,1.50631,1.51515,1.58952,0.000703,0.000703,0.000703
17,730.534,1.41296,1.52234,1.49239,0.58377,0.56062,0.58943,0.30767,1.60633,1.53169,1.67959,0.0006832,0.0006832,0.0006832
18,776.459,1.33312,1.39069,1.44021,0.60727,0.62324,0.63601,0.33076,1.53974,1.36842,1.6141,0.0006634,0.0006634,0.0006634
19,814.537,1.32832,1.37577,1.43957,0.60395,0.62198,0.58184,0.30999,1.53048,1.37471,1.61876,0.0006436,0.0006436,0.0006436
20,852.036,1.35767,1.30585,1.45642,0.48534,0.55508,0.54166,0.29043,1.50453,1.43845,1.6331,0.0006238,0.0006238,0.0006238
21,893.769,1.28119,1.25881,1.40864,0.56819,0.61439,0.5804,0.32076,1.48422,1.38211,1.55485,0.000604,0.000604,0.000604
22,931.6,1.30169,1.27856,1.40251,0.58724,0.64278,0.62798,0.33644,1.47575,1.27548,1.55014,0.0005842,0.0005842,0.0005842
23,969.297,1.32348,1.29673,1.41193,0.60443,0.62284,0.63178,0.34014,1.48978,1.23713,1.58277,0.0005644,0.0005644,0.0005644
24,1008.08,1.31257,1.25881,1.43442,0.65176,0.59364,0.63206,0.34653,1.49312,1.29095,1.56778,0.0005446,0.0005446,0.0005446
25,1046.25,1.26717,1.22604,1.37177,0.60146,0.71167,0.68074,0.36954,1.45733,1.22515,1.57303,0.0005248,0.0005248,0.0005248
26,1092.71,1.24315,1.2363,1.38938,0.56011,0.6203,0.62825,0.35468,1.4683,1.3026,1.56161,0.000505,0.000505,0.000505
27,1136.94,1.23542,1.18101,1.38021,0.6363,0.62377,0.63942,0.34033,1.51252,1.35481,1.61509,0.0004852,0.0004852,0.0004852
28,1184.24,1.19135,1.14356,1.35981,0.62123,0.66342,0.66563,0.36456,1.50065,1.23317,1.59513,0.0004654,0.0004654,0.0004654
29,1231.46,1.19743,1.17171,1.3537,0.58462,0.71676,0.66373,0.35906,1.48589,1.16728,1.57575,0.0004456,0.0004456,0.0004456
30,1279.9,1.21512,1.13525,1.36373,0.64518,0.6345,0.64924,0.36272,1.47768,1.24338,1.56968,0.0004258,0.0004258,0.0004258
31,1329.52,1.23783,1.11772,1.3612,0.64014,0.58019,0.62933,0.33988,1.49259,1.26028,1.56786,0.000406,0.000406,0.000406
32,1377.13,1.21914,1.15257,1.32803,0.68267,0.70718,0.70257,0.38834,1.48822,1.13844,1.58043,0.0003862,0.0003862,0.0003862
33,1424.23,1.16955,1.04407,1.3134,0.68874,0.70126,0.70937,0.40111,1.4392,1.14185,1.53445,0.0003664,0.0003664,0.0003664
34,1470.81,1.17615,1.06797,1.32498,0.65465,0.68245,0.70445,0.38904,1.47261,1.11548,1.55433,0.0003466,0.0003466,0.0003466
35,1518.68,1.16861,1.02331,1.31857,0.68742,0.64974,0.69814,0.39881,1.43159,1.0954,1.51861,0.0003268,0.0003268,0.0003268
36,1568.28,1.13535,1.04337,1.30011,0.70426,0.68041,0.6973,0.38526,1.46471,1.14598,1.55897,0.000307,0.000307,0.000307
37,1615.5,1.16417,1.02829,1.32314,0.67912,0.65485,0.69069,0.40298,1.42451,1.13814,1.52111,0.0002872,0.0002872,0.0002872
38,1667.21,1.13715,1.00055,1.29148,0.68887,0.70097,0.69069,0.39563,1.43739,1.11049,1.53217,0.0002674,0.0002674,0.0002674
39,1712.31,1.07504,0.93175,1.26889,0.73886,0.66452,0.69393,0.40554,1.38914,1.08111,1.48377,0.0002476,0.0002476,0.0002476
40,1759.29,1.11543,0.96885,1.28739,0.67721,0.6854,0.70805,0.39553,1.46344,1.09464,1.54921,0.0002278,0.0002278,0.0002278
41,1808.75,1.04026,0.79992,1.22141,0.74512,0.63643,0.71162,0.41636,1.40663,1.06676,1.50479,0.000208,0.000208,0.000208
42,1854.96,1.03895,0.81968,1.22666,0.69647,0.68739,0.70964,0.41725,1.4316,1.04621,1.52924,0.0001882,0.0001882,0.0001882
43,1906.39,1.0269,0.76871,1.2233,0.70812,0.66171,0.71101,0.41212,1.4267,1.06121,1.5238,0.0001684,0.0001684,0.0001684
44,1956.33,1.00026,0.73313,1.21392,0.70655,0.65503,0.70068,0.41057,1.40617,1.05471,1.5042,0.0001486,0.0001486,0.0001486
45,2008.53,0.99043,0.73215,1.20523,0.63801,0.68411,0.67364,0.3825,1.4389,1.10354,1.54725,0.0001288,0.0001288,0.0001288
46,2061.44,0.97505,0.73246,1.21097,0.67623,0.64946,0.69224,0.395,1.40378,1.04645,1.50905,0.000109,0.000109,0.000109
47,2110.63,0.94642,0.67705,1.16758,0.71545,0.67954,0.71172,0.40827,1.39093,1.02265,1.49852,8.92e-05,8.92e-05,8.92e-05
